Date,Habit,Status
2024-06-23,Meditation,Exceeded
2024-09-15,Meditation,Skipped
2024-07-29,Exercise,Partial
2024-12-24,Water Intake,Partial
2024-10-27,Exercise,Completed
2024-07-04,Journaling,Skipped
2024-03-03,Reading,Skipped
2024-02-22,Water Intake,Partial
2024-09-19,Meditation,Exceeded
2024-09-03,Water Intake,Completed
2024-12-09,Exercise,Skipped
2024-09-30,Meditation,Partial
2024-07-30,Water Intake,Completed
2024-01-08,Exercise,Partial
2024-08-29,Reading,Skipped
2024-09-29,Water Intake,Exceeded
2024-10-06,Journaling,Partial
2024-12-30,Exercise,Skipped
2024-02-16,Meditation,Partial
2024-02-20,Journaling,Exceeded
2024-11-02,Exercise,Skipped
2024-03-02,Journaling,Skipped
2024-05-16,Reading,Partial
2024-10-30,Meditation,Exceeded
2024-12-17,Exercise,Skipped
2024-06-10,Journaling,Completed
2024-02-09,Water Intake,Completed
2024-11-03,Water Intake,Exceeded
2024-07-12,Meditation,Exceeded
2024-12-30,Meditation,Completed
2024-08-13,Water Intake,Exceeded
2024-03-18,Water Intake,Partial
2024-01-28,Exercise,Skipped
2024-01-08,Exercise,Partial
2024-07-02,Exercise,Completed
2024-10-11,Meditation,Partial
2024-02-06,Exercise,Skipped
2024-04-16,Meditation,Partial
2024-04-16,Journaling,Partial
2024-01-04,Exercise,Skipped
2024-09-16,Reading,Skipped
2024-01-25,Journaling,Skipped
2024-04-09,Meditation,Partial
2024-12-24,Water Intake,Exceeded
2024-09-17,Reading,Partial
2024-11-27,Exercise,Skipped
2024-11-29,Exercise,Skipped
2024-07-09,Reading,Partial
2024-08-02,Meditation,Partial
2024-03-10,Journaling,Completed
2024-05-14,Journaling,Exceeded
2024-10-18,Meditation,Skipped
2024-09-23,Journaling,Completed
2024-07-01,Exercise,Skipped
2024-12-02,Reading,Skipped
2024-09-26,Meditation,Skipped
2024-03-25,Exercise,Exceeded
2024-06-26,Reading,Completed
2024-07-25,Reading,Partial
2024-03-09,Reading,Skipped
2024-12-05,Water Intake,Partial
2024-03-01,Water Intake,Exceeded
2024-01-14,Water Intake,Exceeded
2024-03-17,Exercise,Skipped
2024-08-30,Journaling,Exceeded
2024-10-24,Meditation,Completed
2024-12-01,Reading,Skipped
2024-03-28,Meditation,Partial
2024-10-09,Exercise,Completed
2024-09-29,Water Intake,Completed
2024-03-25,Reading,Partial
2024-11-26,Exercise,Exceeded
2024-01-31,Exercise,Exceeded
2024-07-21,Meditation,Partial
2024-10-27,Reading,Skipped
2024-08-25,Exercise,Completed
2024-06-16,Journaling,Exceeded
2024-09-02,Water Intake,Completed
2024-07-05,Journaling,Partial
2024-03-25,Water Intake,Completed
2024-06-27,Water Intake,Skipped
2024-06-06,Water Intake,Completed
2024-07-13,Meditation,Completed
2024-11-13,Journaling,Partial
2024-09-02,Exercise,Partial
2024-03-31,Exercise,Exceeded
2024-01-15,Journaling,Skipped
2024-02-05,Reading,Exceeded
2024-08-31,Reading,Partial
2024-11-03,Water Intake,Partial
2024-04-15,Exercise,Partial
2024-10-18,Exercise,Exceeded
2024-01-14,Journaling,Completed
2024-08-25,Reading,Skipped
2024-05-11,Exercise,Exceeded
2024-01-19,Water Intake,Partial
2024-03-15,Reading,Completed
2024-02-07,Journaling,Skipped
2024-04-13,Meditation,Partial
2024-05-29,Reading,Completed
2024-06-12,Exercise,Partial
2024-09-27,Water Intake,Partial
2024-06-13,Water Intake,Exceeded
2024-01-07,Meditation,Partial
2024-01-14,Water Intake,Exceeded
2024-10-16,Reading,Completed
2024-01-25,Reading,Skipped
2024-10-23,Exercise,Skipped
2024-02-15,Exercise,Partial
2024-04-02,Exercise,Exceeded
2024-11-09,Exercise,Exceeded
2024-01-17,Reading,Exceeded
2024-06-27,Reading,Partial
2024-09-30,Reading,Exceeded
2024-03-06,Meditation,Skipped
2024-10-06,Exercise,Exceeded
2024-08-30,Water Intake,Partial
2024-07-28,Exercise,Skipped
2024-08-05,Exercise,Completed
2024-02-06,Reading,Partial
2024-05-07,Meditation,Skipped
2024-04-19,Reading,Completed
2024-01-02,Journaling,Partial
2024-07-11,Reading,Partial
2024-04-13,Reading,Completed
2024-02-20,Water Intake,Skipped
2024-03-09,Water Intake,Completed
2024-11-11,Meditation,Skipped
2024-09-13,Reading,Skipped
2024-10-21,Meditation,Skipped
2024-01-09,Water Intake,Exceeded
2024-05-02,Meditation,Exceeded
2024-03-23,Reading,Exceeded
2024-09-13,Reading,Completed
2024-07-29,Exercise,Partial
2024-07-02,Exercise,Exceeded
2024-06-10,Exercise,Skipped
2024-02-08,Water Intake,Partial
2024-11-08,Water Intake,Completed
2024-08-04,Reading,Skipped
2024-01-28,Journaling,Partial
2024-02-29,Exercise,Skipped
2024-07-03,Reading,Completed
2024-02-01,Meditation,Partial
2024-02-02,Exercise,Partial
2024-05-26,Meditation,Exceeded
2024-04-09,Meditation,Partial
2024-09-07,Water Intake,Partial
2024-12-09,Journaling,Completed
2024-02-01,Journaling,Completed
2024-03-28,Journaling,Exceeded
2024-10-10,Water Intake,Exceeded
2024-06-11,Exercise,Skipped
2024-07-28,Reading,Partial
2024-04-22,Journaling,Completed
2024-12-01,Reading,Skipped
2024-07-01,Water Intake,Completed
2024-08-22,Meditation,Completed
2024-02-09,Exercise,Exceeded
2024-07-20,Exercise,Skipped
2024-06-30,Meditation,Partial
2024-11-21,Meditation,Exceeded
2024-07-24,Journaling,Skipped
2024-12-01,Reading,Skipped
2024-02-03,Meditation,Partial
2024-05-11,Exercise,Partial
2024-07-20,Exercise,Skipped
2024-08-25,Journaling,Completed
2024-08-25,Reading,Exceeded
2024-02-12,Exercise,Completed
2024-03-22,Exercise,Exceeded
2024-11-01,Reading,Partial
2024-09-13,Journaling,Skipped
2024-09-04,Exercise,Exceeded
2024-08-15,Journaling,Exceeded
2024-06-13,Water Intake,Skipped
2024-02-06,Meditation,Exceeded
2024-02-01,Exercise,Partial
2024-09-10,Exercise,Completed
2024-11-21,Journaling,Skipped
2024-08-22,Journaling,Partial
2024-04-05,Water Intake,Partial
2024-08-09,Exercise,Completed
2024-07-02,Meditation,Completed
2024-11-21,Meditation,Skipped
2024-11-30,Journaling,Partial
2024-05-06,Exercise,Exceeded
2024-05-14,Water Intake,Exceeded
2024-02-29,Water Intake,Skipped
2024-02-01,Meditation,Completed
2024-05-08,Meditation,Exceeded
2024-07-11,Journaling,Partial
2024-10-23,Meditation,Completed
2024-07-13,Journaling,Skipped
2024-08-29,Journaling,Completed
2024-10-02,Meditation,Exceeded
2024-01-12,Exercise,Exceeded
2024-07-23,Reading,Skipped
2024-03-15,Reading,Completed
2024-07-08,Reading,Exceeded
2024-09-14,Meditation,Exceeded
2024-01-07,Exercise,Skipped
2024-03-16,Reading,Completed
2024-11-17,Meditation,Skipped
2024-06-05,Meditation,Exceeded
2024-10-29,Reading,Completed
2024-04-26,Water Intake,Completed
2024-08-30,Exercise,Exceeded
2024-08-08,Exercise,Skipped
2024-08-16,Reading,Exceeded
2024-02-22,Journaling,Skipped
2024-09-19,Water Intake,Exceeded
2024-03-13,Water Intake,Skipped
2024-05-30,Water Intake,Completed
2024-04-17,Reading,Exceeded
2024-08-08,Water Intake,Skipped
2024-10-26,Water Intake,Skipped
2024-01-17,Exercise,Skipped
2024-07-10,Reading,Exceeded
2024-09-03,Exercise,Skipped
2024-05-10,Water Intake,Partial
2024-07-15,Exercise,Exceeded
2024-03-31,Meditation,Skipped
2024-04-05,Journaling,Exceeded
2024-11-02,Reading,Exceeded
2024-10-03,Exercise,Skipped
2024-06-16,Reading,Partial
2024-12-09,Exercise,Skipped
2024-03-28,Meditation,Partial
2024-05-02,Exercise,Exceeded
2024-05-31,Journaling,Skipped
2024-11-08,Journaling,Exceeded
2024-07-03,Water Intake,Exceeded
2024-09-14,Exercise,Completed
2024-11-15,Meditation,Exceeded
2024-03-01,Journaling,Exceeded
2024-10-09,Water Intake,Completed
2024-08-26,Water Intake,Skipped
2024-04-14,Meditation,Exceeded
2024-02-27,Exercise,Exceeded
2024-03-22,Journaling,Partial
2024-04-28,Exercise,Partial
2024-02-08,Meditation,Exceeded
2024-04-02,Reading,Completed
2024-03-22,Journaling,Partial
2024-06-28,Meditation,Exceeded
2024-04-27,Journaling,Completed
2024-12-26,Reading,Exceeded
2024-09-29,Water Intake,Completed
2024-12-21,Meditation,Skipped
2024-04-30,Meditation,Completed
2024-06-12,Journaling,Skipped
2024-03-22,Exercise,Completed
2024-04-29,Meditation,Skipped
2024-08-23,Exercise,Skipped
2024-06-23,Exercise,Completed
2024-03-29,Journaling,Completed
2024-01-28,Exercise,Skipped
2024-01-13,Water Intake,Exceeded
2024-10-18,Reading,Partial
2024-08-15,Water Intake,Exceeded
2024-07-10,Meditation,Exceeded
2024-06-14,Journaling,Exceeded
2024-08-17,Journaling,Exceeded
2024-08-19,Water Intake,Skipped
2024-03-29,Water Intake,Skipped
2024-04-13,Water Intake,Partial
2024-04-09,Meditation,Skipped
2024-04-10,Journaling,Partial
2024-10-13,Meditation,Partial
2024-12-21,Exercise,Partial
2024-06-12,Exercise,Skipped
2024-01-02,Journaling,Exceeded
2024-12-08,Meditation,Completed
2024-10-08,Journaling,Partial
2024-08-23,Journaling,Completed
2024-11-05,Water Intake,Partial
2024-10-07,Water Intake,Skipped
2024-10-13,Reading,Skipped
2024-10-24,Exercise,Skipped
2024-11-22,Exercise,Completed
2024-01-04,Journaling,Completed
2024-08-15,Reading,Partial
2024-09-19,Exercise,Completed
2024-05-31,Journaling,Exceeded
2024-11-03,Reading,Exceeded
2024-11-08,Exercise,Partial
2024-06-19,Meditation,Exceeded
2024-03-23,Water Intake,Exceeded
2024-05-18,Reading,Partial
2024-10-17,Exercise,Partial
2024-03-17,Exercise,Partial
2024-01-07,Meditation,Partial
2024-05-21,Journaling,Exceeded
2024-09-13,Meditation,Exceeded
2024-09-02,Exercise,Partial
2024-03-07,Water Intake,Exceeded
2024-01-25,Journaling,Exceeded
2024-04-25,Meditation,Partial
2024-08-07,Meditation,Skipped
2024-10-28,Reading,Partial
2024-02-28,Exercise,Completed
2024-12-23,Exercise,Partial
2024-09-17,Journaling,Completed
2024-07-03,Journaling,Exceeded
2024-12-25,Exercise,Exceeded
2024-10-15,Journaling,Partial
2024-03-11,Meditation,Exceeded
2024-10-18,Journaling,Exceeded
2024-10-10,Journaling,Completed
2024-07-08,Exercise,Completed
2024-03-09,Water Intake,Partial
2024-01-04,Journaling,Skipped
2024-02-06,Reading,Completed
2024-05-29,Water Intake,Skipped
2024-08-19,Meditation,Skipped
2024-01-07,Journaling,Exceeded
2024-09-06,Exercise,Partial
2024-03-12,Water Intake,Completed
2024-07-06,Journaling,Partial
2024-09-02,Reading,Exceeded
2024-06-25,Water Intake,Partial
2024-12-22,Reading,Partial
2024-08-17,Reading,Completed
2024-05-09,Water Intake,Partial
2024-02-14,Journaling,Exceeded
2024-07-11,Meditation,Partial
2024-12-06,Reading,Skipped
2024-07-30,Meditation,Exceeded
2024-03-13,Reading,Partial
2024-04-12,Journaling,Skipped
2024-07-02,Reading,Exceeded
2024-11-17,Journaling,Completed
2024-12-10,Journaling,Completed
2024-08-20,Journaling,Completed
2024-12-31,Meditation,Skipped
2024-11-10,Meditation,Exceeded
2024-12-02,Reading,Skipped
2024-10-12,Journaling,Exceeded
2024-02-22,Reading,Skipped
2024-03-30,Water Intake,Skipped
2024-07-08,Meditation,Completed
2024-11-17,Meditation,Partial
2024-11-02,Reading,Skipped
2024-01-11,Reading,Exceeded
2024-09-10,Reading,Partial
2024-06-27,Water Intake,Partial
2024-03-07,Exercise,Exceeded
2024-07-24,Reading,Partial
2024-02-25,Exercise,Exceeded
2024-02-01,Meditation,Exceeded
2024-02-24,Meditation,Exceeded
2024-01-01,Journaling,Partial
2024-01-17,Exercise,Skipped
2024-11-18,Journaling,Skipped
2024-10-30,Journaling,Completed
2024-09-11,Exercise,Skipped
2024-05-07,Journaling,Partial
2024-09-11,Meditation,Exceeded
2024-09-22,Reading,Completed
2024-05-02,Journaling,Exceeded
2024-03-29,Meditation,Exceeded
2024-02-27,Water Intake,Partial
2024-03-21,Meditation,Partial
2024-08-14,Journaling,Partial
2024-07-06,Meditation,Skipped
2024-09-28,Reading,Partial
2024-08-03,Exercise,Skipped
2024-02-14,Water Intake,Skipped
2024-08-24,Water Intake,Completed
2024-11-09,Water Intake,Exceeded
2024-02-19,Exercise,Skipped
2024-04-17,Reading,Completed
2024-02-25,Water Intake,Skipped
2024-01-08,Reading,Partial
2024-11-15,Water Intake,Skipped
2024-12-13,Journaling,Exceeded
2024-05-31,Journaling,Skipped
2024-12-29,Exercise,Skipped
2024-04-04,Meditation,Completed
2024-11-21,Journaling,Partial
2024-06-29,Journaling,Partial
2024-08-20,Meditation,Skipped
2024-09-21,Meditation,Exceeded
2024-01-03,Reading,Partial
2024-04-28,Meditation,Completed
2024-05-19,Water Intake,Completed
2024-10-03,Meditation,Skipped
2024-08-02,Water Intake,Completed
2024-12-17,Water Intake,Exceeded
2024-02-29,Meditation,Partial
2024-11-28,Journaling,Exceeded
2024-11-18,Reading,Skipped
2024-04-14,Exercise,Partial
2024-05-26,Water Intake,Partial
2024-02-07,Water Intake,Skipped
2024-03-22,Meditation,Exceeded
2024-03-19,Water Intake,Exceeded
2024-06-11,Reading,Skipped
2024-01-22,Journaling,Skipped
2024-10-11,Exercise,Completed
2024-04-07,Water Intake,Completed
2024-03-15,Water Intake,Completed
2024-12-14,Reading,Exceeded
2024-07-30,Meditation,Skipped
2024-03-29,Meditation,Skipped
2024-12-16,Water Intake,Exceeded
2024-05-04,Exercise,Completed
2024-10-14,Reading,Exceeded
2024-11-17,Meditation,Partial
2024-02-17,Meditation,Skipped
2024-07-31,Journaling,Completed
2024-05-09,Journaling,Partial
2024-09-15,Journaling,Completed
2024-05-14,Reading,Completed
2024-08-02,Reading,Skipped
2024-02-12,Exercise,Partial
2024-01-31,Journaling,Skipped
2024-03-23,Reading,Completed
2024-12-06,Water Intake,Partial
2024-07-29,Journaling,Exceeded
2024-06-05,Exercise,Skipped
2024-12-17,Reading,Completed
2024-04-10,Water Intake,Completed
2024-01-30,Water Intake,Completed
2024-08-27,Water Intake,Completed
2024-11-25,Water Intake,Partial
2024-09-24,Exercise,Partial
2024-10-21,Reading,Exceeded
2024-08-25,Meditation,Exceeded
2024-07-24,Journaling,Skipped
2024-12-02,Meditation,Partial
2024-06-19,Meditation,Completed
2024-12-28,Reading,Completed
2024-07-10,Water Intake,Completed
2024-02-20,Reading,Completed
2024-02-27,Journaling,Exceeded
2024-09-14,Water Intake,Partial
2024-06-03,Exercise,Skipped
2024-04-28,Exercise,Partial
2024-08-14,Exercise,Exceeded
2024-07-26,Water Intake,Skipped
2024-03-25,Journaling,Partial
2024-06-25,Reading,Skipped
2024-10-29,Meditation,Partial
2024-08-12,Reading,Skipped
2024-01-08,Reading,Completed
2024-12-01,Reading,Skipped
2024-06-14,Reading,Completed
2024-11-19,Meditation,Partial
2024-10-14,Meditation,Exceeded
2024-06-22,Meditation,Partial
2024-04-29,Meditation,Completed
2024-07-21,Water Intake,Partial
2024-12-24,Exercise,Exceeded
2024-05-24,Water Intake,Partial
2024-10-30,Meditation,Skipped
2024-07-29,Reading,Completed
2024-11-13,Journaling,Skipped
2024-10-14,Journaling,Completed
2024-07-07,Exercise,Exceeded
2024-11-23,Meditation,Partial
2024-03-21,Reading,Skipped
2024-11-22,Exercise,Skipped
2024-07-20,Exercise,Exceeded
2024-02-06,Exercise,Exceeded
2024-03-06,Journaling,Completed
2024-01-01,Water Intake,Completed
2024-06-10,Reading,Completed
2024-11-15,Meditation,Completed
2024-11-15,Meditation,Exceeded
2024-09-22,Exercise,Exceeded
2024-07-08,Reading,Skipped
2024-12-05,Journaling,Partial
2024-03-17,Reading,Completed
2024-05-15,Exercise,Partial
2024-01-28,Journaling,Skipped
2024-04-17,Water Intake,Partial
2024-11-24,Water Intake,Skipped
2024-10-27,Journaling,Skipped
2024-06-28,Journaling,Exceeded
2024-05-06,Water Intake,Completed
2024-10-09,Meditation,Completed
2024-12-28,Exercise,Skipped
2024-02-27,Exercise,Exceeded
2024-09-21,Meditation,Exceeded
2024-12-27,Journaling,Completed
2024-03-14,Exercise,Partial
2024-03-12,Meditation,Exceeded
2024-09-23,Journaling,Completed
2024-09-02,Reading,Skipped
2024-01-17,Exercise,Completed
2024-06-13,Exercise,Completed
2024-10-16,Reading,Exceeded
2024-03-07,Exercise,Partial
2024-03-11,Meditation,Exceeded
2024-03-25,Exercise,Completed
2024-03-12,Reading,Skipped
2024-02-11,Water Intake,Exceeded
2024-11-18,Journaling,Partial
2024-03-04,Exercise,Exceeded
2024-01-25,Reading,Skipped
2024-03-15,Journaling,Skipped
2024-09-09,Exercise,Exceeded
2024-01-10,Water Intake,Exceeded
2024-10-31,Journaling,Completed
2024-05-21,Meditation,Partial
2024-12-31,Water Intake,Exceeded
2024-10-04,Reading,Completed
2024-01-25,Water Intake,Partial
2024-02-06,Water Intake,Completed
2024-03-09,Water Intake,Skipped
2024-09-27,Meditation,Completed
2024-07-30,Journaling,Skipped
2024-06-17,Exercise,Partial
2024-07-16,Journaling,Partial
2024-08-05,Water Intake,Partial
2024-10-26,Journaling,Completed
2024-08-05,Exercise,Skipped
2024-07-15,Journaling,Skipped
2024-11-26,Water Intake,Skipped
2024-04-15,Water Intake,Completed
2024-10-08,Water Intake,Completed
2024-10-27,Water Intake,Exceeded
2024-06-02,Meditation,Exceeded
2024-02-28,Water Intake,Completed
2024-03-21,Exercise,Completed
2024-05-30,Exercise,Exceeded
2024-06-22,Water Intake,Skipped
2024-03-11,Exercise,Skipped
2024-05-06,Meditation,Completed
2024-12-15,Meditation,Skipped
2024-06-15,Journaling,Exceeded
2024-05-10,Reading,Exceeded
2024-05-16,Meditation,Skipped
2024-06-07,Journaling,Partial
2024-04-07,Water Intake,Skipped
2024-01-24,Exercise,Completed
2024-05-12,Journaling,Exceeded
2024-02-09,Journaling,Exceeded
2024-12-01,Reading,Completed
2024-09-21,Meditation,Completed
2024-07-15,Exercise,Skipped
2024-09-07,Meditation,Completed
2024-03-24,Meditation,Skipped
2024-11-30,Exercise,Partial
2024-09-18,Journaling,Exceeded
2024-08-08,Reading,Exceeded
2024-09-20,Journaling,Exceeded
2024-06-21,Reading,Completed
2024-03-04,Water Intake,Completed
2024-09-01,Meditation,Exceeded
2024-07-05,Exercise,Partial
2024-07-15,Reading,Skipped
2024-03-04,Journaling,Completed
2024-06-30,Exercise,Completed
2024-07-10,Exercise,Exceeded
2024-06-19,Water Intake,Exceeded
2024-08-18,Meditation,Exceeded
2024-04-25,Exercise,Skipped
2024-03-10,Exercise,Skipped
2024-07-11,Journaling,Exceeded
2024-08-05,Meditation,Exceeded
2024-08-15,Meditation,Skipped
2024-05-26,Water Intake,Partial
2024-05-27,Meditation,Partial
2024-10-09,Water Intake,Completed
2024-08-06,Exercise,Exceeded
2024-05-29,Water Intake,Partial
2024-10-12,Journaling,Partial
2024-04-05,Meditation,Exceeded
2024-09-30,Journaling,Exceeded
2024-12-26,Meditation,Partial
2024-01-01,Water Intake,Completed
2024-06-29,Exercise,Completed
2024-09-22,Reading,Completed
2024-06-18,Journaling,Completed
2024-12-17,Exercise,Completed
2024-09-24,Water Intake,Exceeded
2024-06-06,Meditation,Exceeded
2024-10-10,Reading,Partial
2024-06-28,Reading,Completed
2024-09-28,Reading,Exceeded
2024-07-19,Water Intake,Completed
2024-02-16,Exercise,Exceeded
2024-08-10,Reading,Exceeded
2024-09-01,Reading,Completed
2024-08-07,Journaling,Exceeded
2024-01-17,Exercise,Exceeded
2024-10-05,Journaling,Partial
2024-10-17,Water Intake,Completed
2024-10-10,Journaling,Skipped
2024-12-04,Water Intake,Partial
2024-07-22,Reading,Exceeded
2024-11-17,Water Intake,Exceeded
2024-07-25,Water Intake,Completed
2024-03-19,Reading,Skipped
2024-08-18,Journaling,Completed
2024-08-14,Exercise,Completed
2024-03-13,Reading,Completed
2024-08-31,Reading,Exceeded
2024-05-14,Reading,Partial
2024-01-03,Exercise,Exceeded
2024-06-14,Meditation,Partial
2024-06-10,Journaling,Exceeded
2024-07-17,Water Intake,Skipped
2024-04-17,Journaling,Partial
2024-06-12,Reading,Partial
2024-04-19,Water Intake,Skipped
2024-01-01,Exercise,Exceeded
2024-10-05,Meditation,Skipped
2024-06-04,Reading,Partial
2024-04-30,Journaling,Partial
2024-11-07,Journaling,Completed
2024-03-10,Exercise,Skipped
2024-05-31,Meditation,Partial
2024-02-16,Exercise,Skipped
2024-08-05,Reading,Partial
2024-04-04,Exercise,Skipped
2024-02-06,Exercise,Skipped
2024-02-13,Reading,Completed
2024-10-07,Journaling,Completed
2024-05-27,Reading,Partial
2024-04-25,Exercise,Exceeded
2024-09-06,Journaling,Skipped
2024-02-02,Journaling,Completed
2024-03-19,Journaling,Completed
2024-01-31,Meditation,Partial
2024-10-28,Journaling,Partial
2024-07-01,Exercise,Exceeded
2024-06-03,Water Intake,Skipped
2024-12-15,Reading,Exceeded
2024-12-16,Journaling,Skipped
2024-08-21,Reading,Exceeded
2024-07-06,Reading,Skipped
2024-06-13,Reading,Partial
2024-12-22,Reading,Partial
2024-12-27,Meditation,Skipped
2024-07-15,Journaling,Exceeded
2024-11-27,Exercise,Skipped
2024-02-01,Reading,Completed
2024-09-09,Reading,Skipped
2024-07-21,Reading,Skipped
2024-09-24,Journaling,Completed
2024-03-24,Journaling,Partial
2024-07-13,Reading,Completed
2024-12-16,Journaling,Completed
2024-03-01,Reading,Exceeded
2024-01-26,Meditation,Skipped
2024-10-31,Water Intake,Skipped
2024-08-18,Meditation,Skipped
2024-10-23,Exercise,Completed
2024-10-22,Exercise,Exceeded
2024-04-20,Meditation,Completed
2024-01-14,Meditation,Partial
2024-08-20,Exercise,Exceeded
2024-04-08,Water Intake,Partial
2024-01-13,Meditation,Partial
2024-06-10,Meditation,Partial
2024-05-01,Exercise,Completed
2024-03-15,Journaling,Partial
2024-01-23,Meditation,Partial
2024-06-21,Meditation,Exceeded
2024-01-25,Exercise,Completed
2024-07-31,Meditation,Partial
2024-12-06,Journaling,Partial
2024-05-23,Exercise,Exceeded
2024-08-27,Water Intake,Partial
2024-10-11,Reading,Completed
2024-06-01,Water Intake,Partial
2024-06-29,Water Intake,Partial
2024-08-29,Reading,Completed
2024-02-29,Exercise,Exceeded
2024-03-18,Meditation,Skipped
2024-05-08,Reading,Skipped
2024-09-06,Reading,Skipped
2024-06-02,Journaling,Completed
2024-04-12,Journaling,Exceeded
2024-05-21,Exercise,Skipped
2024-01-25,Water Intake,Partial
2024-10-23,Journaling,Completed
2024-04-30,Exercise,Completed
2024-04-23,Exercise,Exceeded
2024-10-21,Exercise,Completed
2024-02-17,Meditation,Completed
2024-10-21,Meditation,Completed
2024-09-01,Water Intake,Exceeded
2024-05-26,Exercise,Exceeded
2024-12-27,Water Intake,Completed
2024-09-12,Meditation,Exceeded
2024-12-29,Meditation,Partial
2024-07-25,Reading,Skipped
2024-07-01,Exercise,Partial
2024-09-18,Journaling,Exceeded
2024-10-23,Meditation,Partial
2024-12-31,Journaling,Skipped
2024-06-03,Exercise,Skipped
2024-11-04,Meditation,Exceeded
2024-01-16,Water Intake,Skipped
2024-02-04,Journaling,Completed
2024-06-02,Water Intake,Skipped
2024-09-07,Reading,Exceeded
2024-03-20,Water Intake,Skipped
2024-10-09,Water Intake,Exceeded
2024-07-14,Exercise,Completed
2024-01-28,Exercise,Partial
2024-07-10,Exercise,Skipped
2024-03-25,Meditation,Exceeded
2024-01-27,Water Intake,Skipped
2024-10-21,Journaling,Completed
2024-10-12,Water Intake,Partial
2024-08-06,Journaling,Skipped
2024-12-03,Reading,Partial
2024-11-04,Journaling,Skipped
2024-02-17,Exercise,Exceeded
2024-01-23,Water Intake,Exceeded
2024-10-11,Water Intake,Skipped
2024-04-30,Exercise,Skipped
2024-10-20,Meditation,Skipped
2024-02-23,Exercise,Partial
2024-05-26,Reading,Partial
2024-04-29,Water Intake,Exceeded
2024-04-12,Reading,Partial
2024-02-12,Journaling,Skipped
2024-12-10,Reading,Exceeded
2024-08-07,Journaling,Partial
2024-04-25,Exercise,Partial
2024-12-16,Journaling,Partial
2024-08-02,Reading,Exceeded
2024-10-22,Meditation,Skipped
2024-04-28,Meditation,Partial
2024-03-17,Journaling,Partial
2024-05-28,Reading,Exceeded
2024-02-20,Meditation,Exceeded
2024-06-06,Exercise,Completed
2024-03-20,Journaling,Skipped
2024-06-15,Reading,Completed
2024-01-21,Journaling,Completed
2024-12-05,Reading,Exceeded
2024-02-26,Journaling,Exceeded
2024-05-26,Water Intake,Completed
2024-03-19,Reading,Partial
2024-08-19,Exercise,Partial
2024-04-23,Exercise,Skipped
2024-11-02,Exercise,Exceeded
2024-02-26,Journaling,Partial
2024-08-18,Exercise,Exceeded
2024-03-10,Water Intake,Partial
2024-08-14,Journaling,Skipped
2024-12-19,Exercise,Exceeded
2024-02-05,Journaling,Exceeded
2024-03-01,Meditation,Partial
2024-09-06,Reading,Partial
2024-10-14,Water Intake,Exceeded
2024-09-22,Exercise,Completed
2024-09-15,Reading,Skipped
2024-11-22,Journaling,Exceeded
2024-12-07,Water Intake,Completed
2024-09-24,Journaling,Partial
2024-01-07,Journaling,Partial
2024-05-07,Meditation,Partial
2024-03-05,Reading,Skipped
2024-03-08,Exercise,Exceeded
2024-02-19,Journaling,Exceeded
2024-01-19,Reading,Skipped
2024-07-16,Meditation,Skipped
2024-12-01,Reading,Completed
2024-05-23,Reading,Skipped
2024-01-18,Water Intake,Partial
2024-06-18,Water Intake,Partial
2024-01-07,Meditation,Completed
2024-08-06,Journaling,Exceeded
2024-05-08,Journaling,Completed
2024-11-20,Meditation,Partial
2024-05-05,Reading,Completed
2024-08-13,Water Intake,Exceeded
2024-09-21,Water Intake,Skipped
2024-11-14,Meditation,Completed
2024-12-27,Water Intake,Exceeded
2024-04-21,Journaling,Exceeded
2024-10-19,Water Intake,Exceeded
2024-11-06,Reading,Skipped
2024-02-23,Reading,Partial
2024-04-24,Meditation,Skipped
2024-10-18,Reading,Skipped
2024-07-08,Reading,Partial
2024-10-23,Journaling,Skipped
2024-07-03,Meditation,Skipped
2024-01-04,Exercise,Exceeded
2024-11-18,Reading,Partial
2024-10-24,Water Intake,Completed
2024-04-05,Exercise,Exceeded
2024-11-18,Meditation,Skipped
2024-01-08,Journaling,Completed
2024-10-22,Reading,Skipped
2024-03-25,Journaling,Completed
2024-09-16,Water Intake,Skipped
2024-11-08,Meditation,Exceeded
2024-03-30,Reading,Exceeded
2024-04-05,Water Intake,Partial
2024-12-17,Water Intake,Exceeded
2024-12-25,Exercise,Completed
2024-03-17,Exercise,Partial
2024-07-11,Water Intake,Exceeded
2024-02-10,Exercise,Exceeded
2024-12-24,Exercise,Exceeded
2024-12-10,Meditation,Completed
2024-06-11,Reading,Exceeded
2024-07-04,Reading,Exceeded
2024-12-01,Exercise,Skipped
2024-12-04,Reading,Partial
2024-06-12,Reading,Exceeded
2024-04-27,Reading,Completed
2024-03-20,Water Intake,Exceeded
2024-03-09,Exercise,Skipped
2024-05-09,Water Intake,Completed
2024-08-29,Reading,Completed
2024-11-02,Meditation,Skipped
2024-02-03,Reading,Completed
2024-12-26,Exercise,Exceeded
2024-06-12,Meditation,Partial
2024-10-16,Water Intake,Exceeded
2024-04-18,Reading,Exceeded
2024-05-20,Meditation,Exceeded
2024-11-19,Journaling,Completed
2024-08-20,Journaling,Partial
2024-08-23,Journaling,Exceeded
2024-06-02,Journaling,Partial
2024-12-08,Journaling,Partial
2024-07-10,Water Intake,Skipped
2024-07-07,Water Intake,Partial
2024-11-13,Water Intake,Skipped
2024-07-05,Journaling,Exceeded
